actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,GAME_ID
105,PT03M27.00S,2023-01-09T02:24:47.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629027,10.643889618922472,64.81694240196079,1610612737,22,19,2023-01-09T02:24:52Z,1020000,False,-74.0,48.0,1,left,MISS T. Young 8' driving floating Shot - blocked,"[1629027, 1629650]",1610612737.0,ATL,driving floating,,,Young,T. Young,,,,,In The Paint (Non-RA),8-16 Left,8.81,Missed,Brown,1629650.0,,,,,,,,,,,,,,,,,0022200604
106,PT03M27.00S,2023-01-09T02:24:47.0Z,1,REGULAR,block,,[],1629650,,,1610612737,22,19,2023-01-09T02:24:49Z,1030000,False,,,0,,M. Brown BLOCK (1 BLK),[1629650],1610612746.0,LAC,,,,Brown,M. Brown,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,,0022200604
107,PT03M23.00S,2023-01-09T02:24:51.0Z,1,REGULAR,rebound,defensive,[],1629650,,,1610612746,22,19,2023-01-09T02:24:52Z,1040000,False,,,0,,M. Brown REBOUND (Off:0 Def:1),[1629650],1610612746.0,LAC,,,,Brown,M. Brown,,,,,In The Paint (Non-RA),8-16 Left,,,,,105.0,1.0,1.0,0.0,,,,,,,,,,,,,0022200604
108,PT03M21.00S,2023-01-09T02:24:52.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",202695,92.55913272010513,48.529411764705884,1610612746,24,19,2023-01-09T02:25:01Z,1050000,False,-7.0,17.0,1,right,K. Leonard running DUNK (6 PTS) (N. Powell 2 AST),"[202695, 1626181]",1610612746.0,LAC,running,,,Leonard,K. Leonard,,,,,Restricted Area,0-8 Center,1.89,Made,,,,,,,6.0,N. Powell,1626181.0,2.0,,,,,,,,,0022200604
110,PT03M16.00S,2023-01-09T02:25:03.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612737,24,19,2023-01-09T02:25:03Z,1070000,False,,,0,,ATL Timeout,[],1610612737.0,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0022200604
111,PT03M16.00S,2023-01-09T02:27:32.4Z,1,REGULAR,substitution,out,[],1629631,,,1610612737,24,19,2023-01-09T02:27:45Z,1080000,False,,,0,,SUB out: D. Hunter,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,,0022200604
112,PT03M16.00S,2023-01-09T02:27:32.4Z,1,REGULAR,substitution,out,[],1630168,,,1610612737,24,19,2023-01-09T02:27:45Z,1090000,False,,,0,,SUB out: O. Okongwu,[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,,,,,,,,,,,,,,,,,,,,,,,0022200604
113,PT03M16.00S,2023-01-09T02:27:32.4Z,1,REGULAR,substitution,in,[],1630552,,,1610612737,24,19,2023-01-09T02:27:45Z,1100000,False,,,0,,SUB in: J. Johnson,[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,0022200604
114,PT03M16.00S,2023-01-09T02:27:32.4Z,1,REGULAR,substitution,in,[],1628381,,,1610612737,24,19,2023-01-09T02:27:45Z,1110000,False,,,0,,SUB in: J. Collins,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,,0022200604
115,PT03M02.00S,2023-01-09T02:28:05.8Z,1,REGULAR,2pt,Jump Shot,[],203992,9.773324572930349,71.07843137254902,1610612737,24,19,2023-01-09T02:28:10Z,1120000,False,-105.0,39.0,1,left,MISS B. Bogdanovic 11' fadeaway Shot,[203992],1610612737.0,ATL,fadeaway,,,Bogdanovic,B. Bogdanovic,,,,,Mid-Range,8-16 Left,11.25,Missed,,,,,,,,,,,,,,,,,,,0022200604
116,PT02M58.00S,2023-01-09T02:28:09.8Z,1,REGULAR,rebound,defensive,[],1629650,,,1610612746,24,19,2023-01-09T02:28:10Z,1130000,False,,,0,,M. Brown REBOUND (Off:0 Def:2),[1629650],1610612746.0,LAC,,,,Brown,M. Brown,,,,,Mid-Range,8-16 Left,,,,,115.0,2.0,2.0,0.0,,,,,,,,,,,,,0022200604
117,PT02M52.00S,2023-01-09T02:28:14.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626181,92.29632063074901,54.16666666666667,1610612746,24,19,2023-01-09T02:28:18Z,1140000,False,21.0,20.0,1,right,MISS N. Powell driving Layup - blocked,"[1626181, 1628381]",1610612746.0,LAC,driving,,,Powell,N. Powell,,,,,Restricted Area,0-8 Center,2.88,Missed,Collins,1628381.0,,,,,,,,,,,,,,,,,0022200604
118,PT02M52.00S,2023-01-09T02:28:14.8Z,1,REGULAR,block,,[],1628381,,,1610612746,24,19,2023-01-09T02:28:16Z,1150000,False,,,0,,J. Collins BLOCK (1 BLK),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,,0022200604
119,PT02M50.00S,2023-01-09T02:28:16.8Z,1,REGULAR,rebound,defensive,[],1630552,,,1610612737,24,19,2023-01-09T02:28:18Z,1160000,False,,,0,,J. Johnson REBOUND (Off:0 Def:1),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,,,,,117.0,1.0,1.0,0.0,,,,,,,,,,,,,0022200604
120,PT02M44.00S,2023-01-09T02:28:23.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630552,6.225361366622863,46.32352941176471,1610612737,24,21,2023-01-09T02:28:31Z,1170000,False,18.0,6.0,1,left,J. Johnson Layup (2 PTS) (B. Bogdanovic 1 AST),"[1630552, 203992]",1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,1.94,Made,,,,,,,2.0,B. Bogdanovic,203992.0,1.0,,,,,,,,,0022200604
123,PT02M18.00S,2023-01-09T02:28:57.0Z,1,REGULAR,3pt,Jump Shot,[],202695,70.22010512483574,72.30392156862744,1610612746,24,21,2023-01-09T02:32:51Z,1200000,False,112.0,227.0,1,right,MISS K. Leonard 25' step back 3PT,[202695],1610612746.0,LAC,step back,,,Leonard,K. Leonard,,,,,Above the Break 3,24+ Right Center,25.33,Missed,,,,,,,,,,,,,,,,,,,0022200604
124,PT02M15.00S,2023-01-09T02:29:00.0Z,1,REGULAR,rebound,offensive,[],1629650,,,1610612746,24,21,2023-01-09T02:29:01Z,1210000,False,,,0,,M. Brown REBOUND (Off:1 Def:2),[1629650],1610612746.0,LAC,,,,Brown,M. Brown,,,,,Above the Break 3,24+ Right Center,,,,,123.0,3.0,2.0,1.0,,,,,,,,,,,,,0022200604
125,PT02M15.00S,2023-01-09T02:29:00.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629650,93.47897503285151,50.0,1610612746,24,21,2023-01-09T02:29:05Z,1220000,False,0.0,9.0,1,right,MISS M. Brown putback Layup - blocked,"[1629650, 1630552]",1610612746.0,LAC,putback,,,Brown,M. Brown,,,,,Restricted Area,0-8 Center,0.88,Missed,Johnson,1630552.0,,,,,,,,,,,,,,,,,0022200604
126,PT02M15.00S,2023-01-09T02:29:00.7Z,1,REGULAR,block,,[],1630552,,,1610612746,24,21,2023-01-09T02:29:02Z,1230000,False,,,0,,J. Johnson BLOCK (1 BLK),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,,0022200604
127,PT02M15.00S,2023-01-09T02:29:00.7Z,1,REGULAR,rebound,defensive,[],203992,,,1610612737,24,21,2023-01-09T02:29:05Z,1240000,False,,,0,,B. Bogdanovic REBOUND (Off:0 Def:2),[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,Restricted Area,0-8 Center,,,,,125.0,2.0,2.0,0.0,,,,,,,,,,,,,0022200604
128,PT02M05.00S,2023-01-09T02:29:09.8Z,1,REGULAR,3pt,Jump Shot,[],203992,23.570959264126145,91.17647058823529,1610612737,24,21,2023-01-09T02:29:16Z,1250000,False,-206.0,169.0,1,left,MISS B. Bogdanovic 26' 3PT,[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,Above the Break 3,24+ Left Center,26.64,Missed,,,,,,,,,,,,,,,,,,,0022200604
129,PT02M03.00S,2023-01-09T02:29:11.8Z,1,REGULAR,rebound,defensive,[],1626181,,,1610612746,24,21,2023-01-09T02:29:16Z,1260000,False,,,0,,N. Powell REBOUND (Off:0 Def:1),[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,Above the Break 3,24+ Left Center,,,,,128.0,1.0,1.0,0.0,,,,,,,,,,,,,0022200604
133,PT01M56.00S,2023-01-09T02:29:33.3Z,1,REGULAR,3pt,Jump Shot,[],202704,68.11760840998686,64.4607843137255,1610612746,24,21,2023-01-09T02:29:38Z,1300000,False,72.0,247.0,1,right,MISS R. Jackson 25' 3PT,[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,Above the Break 3,24+ Center,25.76,Missed,,,,,,,,,,,,,,,,,,,0022200604
134,PT01M53.00S,2023-01-09T02:29:36.1Z,1,REGULAR,rebound,offensive,[],202695,,,1610612746,24,21,2023-01-09T02:29:36Z,1310000,False,,,0,,K. Leonard REBOUND (Off:1 Def:1),[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,Above the Break 3,24+ Center,,,,,133.0,2.0,1.0,1.0,,,,,,,,,,,,,0022200604
135,PT01M46.00S,2023-01-09T02:29:43.5Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",202704,93.34756898817345,38.48039215686274,1610612746,24,21,2023-01-09T02:29:49Z,1320000,False,-58.0,10.0,1,right,MISS R. Jackson floating Shot,[202704],1610612746.0,LAC,floating,,,Jackson,R. Jackson,,,,,In The Paint (Non-RA),0-8 Center,5.85,Missed,,,,,,,,,,,,,,,,,,,0022200604
136,PT01M41.00S,2023-01-09T02:29:47.0Z,1,REGULAR,rebound,offensive,[],1626181,,,1610612746,24,21,2023-01-09T02:29:47Z,1330000,False,,,0,,N. Powell REBOUND (Off:1 Def:1),[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,In The Paint (Non-RA),0-8 Center,,,,,135.0,2.0,1.0,1.0,,,,,,,,,,,,,0022200604
137,PT01M41.00S,2023-01-09T02:29:49.4Z,1,REGULAR,foul,personal,['2freethrow'],1628381,,,1610612746,24,21,2023-01-09T02:29:55Z,1340000,False,,,0,,J. Collins shooting personal FOUL (2 PF) (Powell 2 FT),"[1628381, 1626181]",1610612737.0,ATL,shooting,,,Collins,J. Collins,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1627529.0,2.0,0.0,Powell,1626181.0,0022200604
139,PT01M41.00S,2023-01-09T02:30:27.3Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1626181,,,1610612746,25,21,2023-01-09T02:30:27Z,1360000,False,,,0,,N. Powell Free Throw 1 of 2 (1 PTS),[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,,0022200604
140,PT01M41.00S,2023-01-09T02:30:43.1Z,1,REGULAR,substitution,out,[],1628381,,,1610612746,25,21,2023-01-09T02:30:44Z,1370000,False,,,0,,SUB out: J. Collins,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,,,,,,,,,,,,,,,,,,,,,,,0022200604
141,PT01M41.00S,2023-01-09T02:30:43.1Z,1,REGULAR,substitution,in,[],1626163,,,1610612746,25,21,2023-01-09T02:30:44Z,1380000,False,,,0,,SUB in: F. Kaminsky,[1626163],1610612737.0,ATL,,,,Kaminsky,F. Kaminsky,,,,,,,,,,,,,,,,,,,,,,,,,,,0022200604
142,PT01M41.00S,2023-01-09T02:30:45.9Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1626181,,,1610612746,26,21,2023-01-09T02:30:45Z,1390000,False,,,0,,N. Powell Free Throw 2 of 2 (2 PTS),[1626181],1610612746.0,LAC,,,,Powell,N. Powell,,,,,,,,Made,,,,,,,2.0,,,,,,,,,,,,0022200604
143,PT01M31.00S,2023-01-09T02:31:00.0Z,1,REGULAR,3pt,Jump Shot,[],1628988,11.48160315374507,4.656862745098039,1610612737,26,21,2023-01-09T02:31:16Z,1400000,False,227.0,55.0,1,left,MISS A. Holiday 3PT,[1628988],1610612737.0,ATL,,,,Holiday,A. Holiday,,,,,Right Corner 3,24+ Right,23.34,Missed,,,,,,,,,,,,,,,,,,,0022200604
144,PT01M29.00S,2023-01-09T02:31:02.0Z,1,REGULAR,rebound,defensive,[],1629650,,,1610612746,26,21,2023-01-09T02:31:16Z,1410000,False,,,0,,M. Brown REBOUND (Off:1 Def:3),[1629650],1610612746.0,LAC,,,,Brown,M. Brown,,,,,Right Corner 3,24+ Right,,,,,143.0,4.0,3.0,1.0,,,,,,,,,,,,,0022200604
145,PT01M28.00S,2023-01-09T02:31:11.1Z,1,REGULAR,turnover,lost ball,[],1629650,,,1610612746,26,21,2023-01-09T02:31:24Z,1420000,False,,,0,,M. Brown lost ball TURNOVER (1 TO),"[1629650, 1630552]",1610612746.0,LAC,,,,Brown,M. Brown,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1.0,Johnson,1630552.0,,,,,,0022200604
146,PT01M28.00S,2023-01-09T02:31:11.1Z,1,REGULAR,steal,,[],1630552,,,1610612737,26,21,2023-01-09T02:31:12Z,1430000,False,,,0,,J. Johnson STEAL (1 STL),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,,0022200604
147,PT01M22.00S,2023-01-09T02:31:13.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626163,7.802233902759525,47.549019607843135,1610612737,26,23,2023-01-09T02:31:32Z,1440000,False,12.0,21.0,1,left,F. Kaminsky Layup (2 PTS) (T. Young 1 AST),"[1626163, 1629027]",1610612737.0,ATL,,,,Kaminsky,F. Kaminsky,,,,,Restricted Area,0-8 Center,2.42,Made,,,,,,,2.0,T. Young,1629027.0,1.0,,,,,,,,,0022200604
149,PT01M06.00S,2023-01-09T02:31:24.0Z,1,REGULAR,turnover,bad pass,[],202322,,,1610612746,26,23,2023-01-09T02:38:22Z,1460000,False,,,0,,J. Wall bad pass TURNOVER (1 TO),"[202322, 203992]",1610612746.0,LAC,,,,Wall,J. Wall,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,1.0,Bogdanovic,203992.0,,,,,,0022200604
150,PT01M06.00S,2023-01-09T02:31:24.0Z,1,REGULAR,steal,,[],203992,,,1610612737,26,23,2023-01-09T02:31:26Z,1470000,False,,,0,,B. Bogdanovic STEAL (1 STL),[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,,0022200604
151,PT00M57.90S,2023-01-09T02:31:33.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629027,8.065045992115643,40.68627450980392,1610612737,26,23,2023-01-09T02:32:07Z,1480000,False,47.0,23.0,1,left,MISS T. Young driving finger roll Layup,[1629027],1610612737.0,ATL,driving finger roll,,,Young,T. Young,,,,,In The Paint (Non-RA),0-8 Center,5.21,Missed,,,,,,,,,,,,,,,,,,,0022200604
152,PT00M56.80S,2023-01-09T02:31:34.7Z,1,REGULAR,rebound,offensive,[],1626163,,,1610612737,26,23,2023-01-09T02:32:07Z,1490000,False,,,0,,F. Kaminsky REBOUND (Off:1 Def:0),[1626163],1610612737.0,ATL,,,,Kaminsky,F. Kaminsky,,,,,In The Paint (Non-RA),0-8 Center,,,,,151.0,1.0,0.0,1.0,,,,,,,,,,,,,0022200604
153,PT00M56.80S,2023-01-09T02:31:36.8Z,1,REGULAR,foul,personal,['2freethrow'],1626181,,,1610612737,26,23,2023-01-09T02:32:00Z,1500000,False,,,0,,N. Powell shooting personal FOUL (1 PF) (Kaminsky 2 FT),"[1626181, 1626163]",1610612746.0,LAC,shooting,,,Powell,N. Powell,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1627529.0,1.0,0.0,Kaminsky,1626163.0,0022200604
155,PT00M56.80S,2023-01-09T02:32:01.3Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', '2ndchance']",1626163,,,1610612737,26,24,2023-01-09T02:32:19Z,1520000,False,,,0,,F. Kaminsky Free Throw 1 of 2 (3 PTS),[1626163],1610612737.0,ATL,,,,Kaminsky,F. Kaminsky,,,,,,,,Made,,,,,,,3.0,,,,,,,,,,,,0022200604
156,PT00M56.80S,2023-01-09T02:32:01.3Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', '2ndchance']",1626163,,,1610612737,26,24,2023-01-09T02:32:19Z,1530000,False,,,0,,MISS F. Kaminsky Free Throw 2 of 2,[1626163],1610612737.0,ATL,,,,Kaminsky,F. Kaminsky,,,,,,,,Missed,,,,,,,,,,,,,,,,,,,0022200604
157,PT00M55.00S,2023-01-09T02:32:03.1Z,1,REGULAR,rebound,defensive,[],1629650,,,1610612746,26,24,2023-01-09T02:32:19Z,1540000,False,,,0,,M. Brown REBOUND (Off:1 Def:4),[1629650],1610612746.0,LAC,,,,Brown,M. Brown,,,,,,,,,,,156.0,5.0,4.0,1.0,,,,,,,,,,,,,0022200604
158,PT00M32.90S,2023-01-09T02:32:38.7Z,1,REGULAR,3pt,Jump Shot,[],202322,66.67214191852825,63.72549019607843,1610612746,26,24,2023-01-09T02:32:44Z,1550000,False,69.0,261.0,1,right,MISS J. Wall 26' 3PT,[202322],1610612746.0,LAC,,,,Wall,J. Wall,,,,,Above the Break 3,24+ Center,26.97,Missed,,,,,,,,,,,,,,,,,,,0022200604
159,PT00M28.90S,2023-01-09T02:32:42.7Z,1,REGULAR,rebound,defensive,[],1628988,,,1610612737,26,24,2023-01-09T02:32:44Z,1560000,False,,,0,,A. Holiday REBOUND (Off:0 Def:1),[1628988],1610612737.0,ATL,,,,Holiday,A. Holiday,,,,,Above the Break 3,24+ Center,,,,,158.0,1.0,1.0,0.0,,,,,,,,,,,,,0022200604
160,PT00M08.70S,2023-01-09T02:33:02.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626163,9.04648488830486,54.75643382352941,1610612737,26,24,2023-01-09T02:33:09Z,1570000,False,-24.0,33.0,1,left,MISS F. Kaminsky cutting Layup,[1626163],1610612737.0,ATL,cutting,,,Kaminsky,F. Kaminsky,,,,,Restricted Area,0-8 Center,4.03,Missed,,,,,,,,,,,,,,,,,,,0022200604
161,PT00M06.80S,2023-01-09T02:33:04.8Z,1,REGULAR,rebound,offensive,[],1626163,,,1610612737,26,24,2023-01-09T02:33:09Z,1580000,False,,,0,,F. Kaminsky REBOUND (Off:2 Def:0),[1626163],1610612737.0,ATL,,,,Kaminsky,F. Kaminsky,,,,,Restricted Area,0-8 Center,,,,,160.0,2.0,0.0,2.0,,,,,,,,,,,,,0022200604
162,PT00M05.00S,2023-01-09T02:33:07.1Z,1,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1629650,,,1610612737,26,24,2023-01-09T02:33:16Z,1590000,False,,,0,,M. Brown shooting personal FOUL (1 PF) (Kaminsky 2 FT),"[1629650, 1626163]",1610612746.0,LAC,shooting,,,Brown,M. Brown,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,1627529.0,1.0,0.0,Kaminsky,1626163.0,0022200604
164,PT00M05.00S,2023-01-09T02:33:36.0Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1626163,,,1610612737,26,25,2023-01-09T02:54:38Z,1610000,False,,,0,,F. Kaminsky Free Throw 1 of 2 (4 PTS),[1626163],1610612737.0,ATL,,,,Kaminsky,F. Kaminsky,,,,,,,,Made,,,,,,,4.0,,,,,,,,,,,,0022200604
280,PT00M05.00S,2023-01-09T02:33:54.5Z,1,REGULAR,substitution,out,[],1629027,,,1610612737,26,25,2023-01-09T02:55:41Z,1612500,False,,,0,,SUB out: T. Young,[1629027],1610612737.0,ATL,,,,Young,T. Young,,,,,,,,,,,,,,,,,,,,,,,,,,,0022200604
281,PT00M05.00S,2023-01-09T02:33:54.5Z,1,REGULAR,substitution,in,[],1627749,,,1610612737,26,25,2023-01-09T02:55:41Z,1613750,False,,,0,,SUB in: D. Murray,[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,,0022200604
167,PT00M05.00S,2023-01-09T02:33:36.0Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1626163,,,1610612737,26,25,2023-01-09T02:54:38Z,1615000,False,,,0,,MISS F. Kaminsky Free Throw 2 of 2,[1626163],1610612737.0,ATL,,,,Kaminsky,F. Kaminsky,,,,,,,,Missed,,,,,,,,,,,,,,,,,,,0022200604
168,PT00M03.40S,2023-01-09T02:33:37.6Z,1,REGULAR,rebound,defensive,[],1629650,,,1610612746,26,25,2023-01-09T02:54:38Z,1617500,False,,,0,,M. Brown REBOUND (Off:1 Def:5),[1629650],1610612746.0,LAC,,,,Brown,M. Brown,,,,,,,,,,,167.0,6.0,5.0,1.0,,,,,,,,,,,,,0022200604
169,PT00M00.30S,2023-01-09T02:34:13.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202322,88.48554533508542,45.34313725490197,1610612746,26,25,2023-01-09T02:35:00Z,1635000,False,-23.0,56.0,1,right,MISS J. Wall 6' driving Layup - blocked,"[202322, 1628988]",1610612746.0,LAC,driving,,,Wall,J. Wall,,,,,In The Paint (Non-RA),0-8 Center,6.04,Missed,Holiday,1628988.0,,,,,,,,,,,,,,,,,0022200604
170,PT00M00.30S,2023-01-09T02:34:13.1Z,1,REGULAR,block,,[],1628988,,,1610612746,26,25,2023-01-09T02:34:17Z,1637500,False,,,0,,A. Holiday BLOCK (1 BLK),[1628988],1610612737.0,ATL,,,,Holiday,A. Holiday,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,,0022200604
171,PT00M00.10S,2023-01-09T02:34:13.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612746,26,25,2023-01-09T02:35:00Z,1638750,False,,,0,,TEAM offensive REBOUND,[],1610612746.0,LAC,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,169.0,,,,,,,,,,,,,,,,0022200604
172,PT00M00.00S,2023-01-09T02:34:21.7Z,1,REGULAR,period,end,[],0,,,1610612746,26,25,2023-01-09T02:34:21Z,1690000,False,,,0,,Period End,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0022200604
173,PT12M00.00S,2023-01-09T02:36:31.8Z,2,REGULAR,substitution,out,['startperiod'],202695,,,1610612746,26,25,2023-01-09T02:36:49Z,1700000,False,,,0,,SUB out: K. Leonard,[202695],1610612746.0,LAC,,,,Leonard,K. Leonard,,,,,,,,,,,,,,,,,,,,,,,,,,,0022200604
174,PT12M00.00S,2023-01-09T02:36:31.8Z,2,REGULAR,substitution,out,['startperiod'],1628988,,,1610612746,26,25,2023-01-09T02:36:49Z,1710000,False,,,0,,SUB out: A. Holiday,[1628988],1610612737.0,ATL,,,,Holiday,A. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,,0022200604
175,PT12M00.00S,2023-01-09T02:36:31.8Z,2,REGULAR,substitution,in,['startperiod'],1629611,,,1610612746,26,25,2023-01-09T02:36:49Z,1720000,False,,,0,,SUB in: T. Mann,[1629611],1610612746.0,LAC,,,,Mann,T. Mann,,,,,,,,,,,,,,,,,,,,,,,,,,,0022200604
176,PT12M00.00S,2023-01-09T02:36:31.8Z,2,REGULAR,substitution,in,['startperiod'],1631100,,,1610612746,26,25,2023-01-09T02:36:49Z,1730000,False,,,0,,SUB in: A. Griffin,[1631100],1610612737.0,ATL,,,,Griffin,A. Griffin,,,,,,,,,,,,,,,,,,,,,,,,,,,0022200604
177,PT12M00.00S,2023-01-09T02:36:51.4Z,2,REGULAR,period,start,[],0,,,1610612737,26,25,2023-01-09T02:36:51Z,1740000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0022200604
178,PT11M39.00S,2023-01-09T02:37:11.9Z,2,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631100,12.8777923784494,39.68290441176471,1610612737,26,27,2023-01-09T02:37:20Z,1750000,False,52.0,69.0,1,left,A. Griffin 8' driving floating Jump Shot (2 PTS) (F. Kaminsky 1 AST),"[1631100, 1626163]",1610612737.0,ATL,driving floating,,,Griffin,A. Griffin,,,,,In The Paint (Non-RA),8-16 Right,8.58,Made,,,,,,,2.0,F. Kaminsky,1626163.0,1.0,,,,,,,,,0022200604
180,PT11M22.00S,2023-01-09T02:37:29.1Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1629650,93.47897503285151,50.98039215686275,1610612746,28,27,2023-01-09T02:37:33Z,1770000,False,5.0,9.0,1,right,M. Brown DUNK (2 PTS) (T. Mann 3 AST),"[1629650, 1629611]",1610612746.0,LAC,,,,Brown,M. Brown,,,,,Restricted Area,0-8 Center,1.01,Made,,,,,,,2.0,T. Mann,1629611.0,3.0,,,,,,,,,0022200604
182,PT11M03.00S,2023-01-09T02:37:46.9Z,2,REGULAR,3pt,Jump Shot,[],203992,7.145203679369246,4.411764705882348,1610612737,28,27,2023-01-09T02:37:52Z,1790000,False,228.0,15.0,1,left,MISS B. Bogdanovic 3PT,[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,Right Corner 3,24+ Right,22.84,Missed,,,,,,,,,,,,,,,,,,,0022200604
183,PT11M00.00S,2023-01-09T02:37:49.9Z,2,REGULAR,rebound,defensive,[],1629650,,,1610612746,28,27,2023-01-09T02:37:52Z,1800000,False,,,0,,M. Brown REBOUND (Off:1 Def:6),[1629650],1610612746.0,LAC,,,,Brown,M. Brown,,,,,Right Corner 3,24+ Right,,,,,182.0,7.0,6.0,1.0,,,,,,,,,,,,,0022200604
184,PT10M53.00S,2023-01-09T02:37:58.1Z,2,REGULAR,2pt,DUNK,['pointsinthepaint'],1629650,92.69053876478318,48.774509803921575,1610612746,30,27,2023-01-09T02:38:02Z,1810000,False,-6.0,16.0,1,right,M. Brown cutting DUNK (4 PTS) (J. Wall 1 AST),"[1629650, 202322]",1610612746.0,LAC,cutting,,,Brown,M. Brown,,,,,Restricted Area,0-8 Center,1.73,Made,,,,,,,4.0,J. Wall,202322.0,1.0,,,,,,,,,0022200604
186,PT10M35.00S,2023-01-09T02:38:14.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630552,6.619579500657039,45.09803921568627,1610612737,30,29,2023-01-09T02:38:19Z,1830000,False,25.0,10.0,1,left,J. Johnson driving Layup (4 PTS),[1630552],1610612737.0,ATL,driving,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,2.64,Made,,,,,,,4.0,,,,,,,,,,,,0022200604
